New York;40.6943;-73.9249
Los Angeles;34.1141;-118.4068
Chicago;41.8375;-87.6866
Miami;25.7840;-80.2101
Dallas;32.7935;-96.7667
Houston;29.7860;-95.3885
Philadelphia;40.0077;-75.1339
Atlanta;33.7628;-84.4220
Washington;38.9047;-77.0163
Boston;42.3188;-71.0852
Phoenix;33.5722;-112.0892
Detroit;42.3834;-83.1024
San Francisco;37.7558;-122.4449
Seattle;47.6211;-122.3244
San Diego;32.8313;-117.1222
Minneapolis;44.9635;-93.2678
Tampa;27.9945;-82.4447
Brooklyn;40.6501;-73.9496
Denver;39.7620;-104.8758
Queens;40.7498;-73.7976
Baltimore;39.3051;-76.6144
Las Vegas;36.2333;-115.2654
St. Louis;38.6359;-90.2451
Riverside;33.9381;-117.3949
Portland;45.5371;-122.6500
San Antonio;29.4632;-98.5238
Sacramento;38.5677;-121.4685
San Juan;18.3985;-66.0610
San Jose;37.3012;-121.8480
Orlando;28.4773;-81.3370
Cleveland;41.4764;-81.6805
Pittsburgh;40.4397;-79.9763
Manhattan;40.7834;-73.9662
Austin;30.3005;-97.7522
Cincinnati;39.1413;-84.5060
Indianapolis;39.7771;-86.1458
Kansas City;39.1238;-94.5541
Columbus;39.9862;-82.9855
Charlotte;35.2083;-80.8303
Virginia Beach;36.7335;-76.0435
Bronx;40.8501;-73.8662
Milwaukee;43.0642;-87.9675
Providence;41.8230;-71.4187
Jacksonville;30.3322;-81.6749
Salt Lake City;40.7776;-111.9311
Nashville;36.1715;-86.7842
Raleigh;35.8324;-78.6429
Memphis;35.1087;-89.9663
Richmond;37.5295;-77.4756
Louisville;38.1663;-85.6485
New Orleans;30.0687;-89.9288
Bridgeport;41.1918;-73.1954
Oklahoma City;35.4676;-97.5136
Buffalo;42.9018;-78.8487
Hartford;41.7661;-72.6834
Fort Worth;32.7817;-97.3474
Tucson;32.1541;-110.8787
Honolulu;21.3294;-157.8460
McAllen;26.2252;-98.2467
El Paso;31.8476;-106.4300
Omaha;41.2627;-96.0529
Albuquerque;35.1054;-106.6465
Birmingham;33.5279;-86.7971
Sarasota;27.3387;-82.5432
Dayton;39.7805;-84.2003
Rochester;43.1680;-77.6162
Fresno;36.7830;-119.7939
Tulsa;36.1283;-95.9042
Allentown;40.5961;-75.4756
Concord;37.9722;-122.0016
Cape Coral;26.6443;-81.9957
Charleston;32.8168;-79.9687
Colorado Springs;38.8674;-104.7605
Springfield;42.1155;-72.5395
Grand Rapids;42.9619;-85.6562
Ogden;41.2279;-111.9682
Columbia;34.0378;-80.9036
Baton Rouge;30.4420;-91.1311
Knoxville;35.9692;-83.9496
Mission Viejo;33.6096;-117.6551
Albany;42.6664;-73.7987
Akron;41.0798;-81.5219
New Haven;41.3113;-72.9246
Provo;40.2457;-111.6457
Bakersfield;35.3529;-119.0359
Murrieta;33.5719;-117.1909
Des Moines;41.5725;-93.6105
Worcester;42.2705;-71.8079
Mesa;33.4015;-111.7178
Toledo;41.6638;-83.5827
Palm Bay;27.9631;-80.6593
Staten Island;40.5834;-74.1496
Wichita;37.6895;-97.3443
Harrisburg;40.2752;-76.8843
Long Beach;33.7977;-118.1670
Little Rock;34.7256;-92.3577
Madison;43.0822;-89.3930
Greenville;34.8354;-82.3646
Reno;39.5497;-119.8483
Port St. Lucie;27.2796;-80.3884
Lancaster;40.0420;-76.3012
Spokane;47.6671;-117.4330
Denton;33.2175;-97.1418
Poughkeepsie;41.6950;-73.9211
Oakland;37.7904;-122.2166
Winston-Salem;36.1029;-80.2610
Syracuse;43.0407;-76.1437
Boise;43.6005;-116.2308
Chattanooga;35.0660;-85.2481
Augusta;33.3645;-82.0708
Arlington;32.6998;-97.1250
Stockton;37.9765;-121.3109
Durham;35.9792;-78.9022
Palm Coast;29.5389;-81.2457
Scranton;41.4044;-75.6649
Aurora;39.7083;-104.7237
Oxnard;34.1964;-119.1815
Modesto;37.6375;-121.0028
Indio;33.7346;-116.2346
Kissimmee;28.3041;-81.4169
Youngstown;41.0993;-80.6463
Pensacola;30.4413;-87.1911
Lancaster;34.6935;-118.1753
Anaheim;33.8390;-117.8574
Fayetteville;36.0714;-94.1661
Jackson;32.3157;-90.2125
Victorville;34.5277;-117.3536
Bonita Springs;26.3558;-81.7859
Greensboro;36.0956;-79.8271
Corpus Christi;27.7254;-97.3767
Flint;43.0236;-83.6921
Fayetteville;35.0850;-78.9772
Santa Ana;33.7367;-117.8819
Fort Wayne;41.0888;-85.1436
Mobile;30.6782;-88.1162
Lansing;42.7142;-84.5601
Ann Arbor;42.2759;-83.7310
Huntsville;34.6981;-86.6412
Lexington;38.0423;-84.4587
Santa Rosa;38.4458;-122.7067
Antioch;37.9787;-121.7960
Asheville;35.5707;-82.5537
Henderson;36.0133;-115.0381
St. Paul;44.9478;-93.1039
Fort Collins;40.5477;-105.0656
Lakeland;28.0557;-81.9545
Springfield;37.1943;-93.2916
The Woodlands;30.1738;-95.5134
Shreveport;32.4653;-93.7955
Trenton;40.2237;-74.7641
Plano;33.0502;-96.7486
Round Lake Beach;42.3791;-88.0811
South Bend;41.6767;-86.2696
Savannah;32.0286;-81.1821
Newark;40.7245;-74.1725
Davenport;41.5565;-90.6053
Myrtle Beach;33.7094;-78.8844
Lincoln;40.8099;-96.6784
Rockford;42.2596;-89.0640
Reading;40.3400;-75.9267
Canton;40.8078;-81.3676
Irvine;33.6772;-117.7738
Eugene;44.0564;-123.1174
Chula Vista;32.6281;-117.0144
St. Petersburg;27.7931;-82.6652
Salem;44.9233;-123.0244
Lafayette;30.2082;-92.0325
Laredo;27.5625;-99.4874
Jersey City;40.7184;-74.0686
Santa Clarita;34.4175;-118.4964
Aguadilla;18.4382;-67.1537
Wilmington;34.2099;-77.8866
Lubbock;33.5657;-101.8879
Chandler;33.2825;-111.8514
Scottsdale;33.6872;-111.8651
Tallahassee;30.4551;-84.2527
Montgomery;32.3482;-86.2668
Peoria;40.7520;-89.6154
Glendale;33.5791;-112.2311
Columbus;32.5100;-84.8771
Anchorage;61.1508;-149.1091
Gilbert;33.3100;-111.7463
North Las Vegas;36.2883;-115.0888
Avondale;33.3873;-112.3235
McKinney;33.2016;-96.6670
Norfolk;36.8945;-76.2590
Chesapeake;36.6778;-76.3023
Kennewick;46.1978;-119.1732
Winter Haven;28.0118;-81.7014
Irving;32.8583;-96.9702
Garland;32.9100;-96.6304
York;39.9651;-76.7315
Concord;35.3933;-80.6369
Arlington;38.8786;-77.1011
Atlantic City;39.3797;-74.4527
Visalia;36.3276;-119.3269
Fremont;37.5265;-121.9843
Hialeah;25.8696;-80.3045
Nashua;42.7491;-71.4910
Killeen;31.0753;-97.7297
